x150 [*] :=
 1  2.62622e-06   18 18.6222        35  0.411707      52 10.56
 2 30             19 13.2831        36 10.0183        53  4.96009
 3 22.83          20  1.40094       37  4.94864       54 11.0957
 4  1.59168       21 15.2726        38  4.34103       55  1.36476
 5  1.11048e-07   22  7.59848       39  4.06118       56  6.59939
 6 30             23  3.22545e-07   40  7.8501e-07    57  3.50924e-06
 7  2.61323e-05   24  5.70471       41  4.95148e-07   58  2.26934e-07
 8  9.76253       25  3.76399       42 13.8758        59  3.24725e-06
 9 24.8676        26  2.25039       43 11.4145        60  1.63208e-06
10 17.0078        27 10.3969        44  6.67422e-05   61  5.84363
11  7.28977       28  5.85273       45  9.83077       62  3.83281e-07
12 18.6997        29  0.393565      46  2.82666       63  1.24507e-06
13  1.45845e-06   30  3.66281       47  4.65695       64 12.4296
14  4.54732e-07   31  9.03328       48  1.59141       65 15.7036
15  7.52317e-06   32  4.24758e-07   49  1.13662e-06   66  1.10894e-06
16  9.78008       33  8.87664       50  5.26997e-07   67 10.697
17 15.8349        34  8.90661       51 18.4574        68 21.3892
;

