x170 [*] :=
 1  1.1778e-07    19  4.58715       37 14.5003        55  8.80926
 2  2.19502e-07   20  3.87715e-07   38  9.42339       56 16.2944
 3  1.95135e-06   21  1.71158e-06   39 16.3074        57 21.1699
 4  4.07547e-06   22  5.19626e-07   40  9.0555        58 13.9381
 5  2.59494e-06   23  6.30667e-07   41  4.44588       59  1.6424
 6  2.08305e-07   24  2.99284       42 16.9863        60 20.5738
 7  5.47556e-08   25 12.911         43  8.23546       61  9.2857e-08
 8  9.25078e-08   26  2.79694e-07   44  1.98149e-07   62  4.49944e-07
 9  4.88228e-07   27  2.18418       45 15.4536        63 30
10  4.29557e-06   28 15.231         46 15.0831        64 27.1487
11 23.772         29  9.62885       47  1.62028       65  1.93432
12  5.85836       30 11.0675        48 18.568         66  1.63739
13  6.65941       31  6.53504       49  7.86782       67  1.78737e-07
14  4.03501       32  1.98736       50  3.40539       68  0.00142244
15  5.26977       33 12.9242        51 17.6517        69 29.9997
16  2.85256e-07   34  3.78927       52  7.84627       70 30
17  2.95631e-07   35  2.68791e-07   53  2.13145e-07   71  3.49438e-06
18  2.46706e-06   36  8.032         54  6.36362       72  5.2023e-06
;

