x175 [*] :=
 1  3.99822e-08   19  6.15985       37  7.60557       55 10.8253
 2  6.92662e-08   20  8.35936       38  8.53756       56 12.2934
 3  4.91654e-07   21  5.26625       39  8.83526       57 15.0064
 4  1.1172e-06    22 10.2693        40 10.056         58  8.18339
 5 20.1391        23  1.80791       41  2.81329       59  0.495435
 6  5.44855e-08   24 18.3816        42 16.5259        60  7.46226
 7  1.89973e-08   25 10.3724        43  1.73324       61  5.38852e-08
 8  2.62403e-08   26  7.63558e-08   44  8.92255e-08   62  1.92545e-07
 9  1.34222e-07   27 16.2539        45 12.1954        63  2.01943e-07
10  6.58831e-06   28  3.84539       46  8.40324       64 11.8648
11 17.9135        29  7.32337       47  5.40525       65  1.76032e-07
12  9.66154       30  7.42123       48  9.97968       66  2.90104e-08
13 18.0209        31 10.6311        49  8.2788        67  5.49005e-08
14  8.23142       32  3.4807        50  1.3125e-07    68  6.34474e-07
15 23.735         33 16.6623        51 14.2089        69 22.4789
16  5.22008e-08   34  4.6393        52  0.776831      70  3.42118e-07
17  8.4192e-08    35  7.38406e-08   53  1.08811e-07   71  5.05332e-07
18 22.1191        36 15.5893        54 18.2827        72  1.2349e-06
;

