x300 [*] :=
 1  5.81886e-07   17  1.35165e-07   33  2.23982e-08   49  8.74249e-08
 2  2.86374e-06   18  2.00259e-07   34  3.08141       50  1.01182
 3  2.93239       19  0.711343      35 10.7674        51 27.6531
 4  8.04747e-08   20  2.09574       36  5.15593       52 23.2808
 5  2.0025e-07    21  4.78606       37 12.4302        53 12.4427
 6  5.78824e-06   22  2.74848       38 15.9936        54 15.2502
 7 10.3652        23  3.0033e-08    39 20.3147        55 25.7036
 8  1.48091e-07   24  1.66019e-07   40 10.1187        56  2.72991
 9  1.03547e-07   25  8.73626e-07   41  1.2828e-07    57  7.56011
10  1.07046e-07   26  8.36629       42  1.61321e-08   58  1.57377e-07
11  4.82443e-08   27  8.35576       43 13.0434        59 30
12  1.5592e-07    28  6.02947       44  9.48928       60 30
13  9.85448e-08   29  7.00034       45  5.96354       61 30
14  5.82477       30 11.9131        46  9.10356       62 30
15  2.82814       31  4.27994       47 20.7269        63  6.95248
16  1.29248e-06   32 12.4576        48  4.16462       64  7.53689e-09
;

