var x0 [*] :=
 1  1.69738e-07   19  3.36293e-07   37  0.991944      55  1.04556e-06
 2  3.21072e-08   20  5.06649       38  2.14651       56  8.43159
 3  3.89321e-08   21  1.65956       39  1.10009       57  1.76033
 4  4.6276        22  1.77281       40  1.00164e-07   58  7.79087
 5 16.8238        23  9.72838e-08   41  0.568911      59  2.68268
 6  4.82744       24  1.28492e-08   42  0.780618      60  1.06944
 7  5.71913e-09   25  2.13147       43  1.19894e-08   61  1.84221e-08
 8  7.14193e-09   26  0.317135      44  4.78023e-08   62  2.21452e-08
 9  3.38899e-08   27  1.94687e-08   45  2.11858e-08   63  6.97577e-07
10  2.37984e-07   28  8.97043e-08   46  1.81968       64 14.9898
11 15.3888        29  3.54859       47  7.14777       65  1.34656e-08
12  7.20146       30  2.89801       48  1.60639e-07   66  5.17686e-09
13  9.22591       31  0.521168      49  4.99291e-08   67  8.00201e-09
14  1.29753       32  3.1342e-08    50  5.04103e-08   68  3.38271e-08
15  2.84108e-08   33  0.855443      51  7.81033e-08   69  1.27114e-08
16  7.67668e-08   34  3.13042e-08   52  4.0071e-08    70  2.33683e-08
17  1.09161e-08   35  0.543673      53  1.86936
18  2.16568e-08   36  1.98297e-08   54  2.2428e-08
;

