var x135 [*] :=
 1 13.1123        18 26.0346        35 24.9923        52 11.3243
 2  0.921956      19 30             36 15.2346        53 23.8495
 3  8.66136e-07   20  9.42221       37  7.45085       54 16.2962
 4  0.368601      21  5.08929e-08   38 17.8217        55  7.96353
 5  1.68997e-08   22 30             39  8.61195e-08   56  4.62536e-07
 6  2.47639e-06   23 20.9609        40  5.98462       57 13.4923
 7  1.79122e-07   24  0.00934995    41  3.24459       58  4.34704
 8  1.40094e-06   25  3.46683       42  9.47609       59  6.15696
 9 11.8088        26 27.4684        43  4.79805       60 13.4448
10 23.4257        27 20.8855        44 25.5116        61 10.9277
11 30             28 20.5975        45 14.4139        62 10.7642
12  3.80038e-07   29 17.6243        46  5.59241e-07   63 15.6098
13 25.8002        30  4.66764e-08   47  1.05718e-07   64  2.23887
14 14.8306        31  8.91921       48  3.38535e-07   65  2.90981
15  1.47598e-06   32  8.25464       49  1.72965
16 14.3           33  7.29041       50  2.8419
17 30             34  1.78163       51 10.3592
;

