var x140 [*] :=
 1 26.7892        18 22.2868        35  7.1142e-06    52  2.56827
 2 23.8999        19 26.9041        36 15.8097        53  9.74639
 3  1.4781        20 30             37  7.70527       54 18.8407
 4  6.06282       21  8.60173       38  3.31393       55 11.8824
 5  1.30884e-07   22  3.72375e-07   39 17.3438        56  6.81845
 6 30             23 30             40  4.94221e-07   57  5.2922e-07
 7  2.50479e-06   24  9.66724       41  4.37231       58  5.96544
 8  4.26813e-06   25  2.67688e-06   42  8.90086       59  2.31563e-06
 9  4.67299       26  1.5576e-06    43  1.79051       60  6.7061
10  7.01696       27 16.7363        44  3.29054       61  6.65624
11 21.8309        28 14.0345        45 17.9533        62 10.7683
12 28.713         29 13.3872        46  6.13809       63 10.1938
13  1.8753e-06    30 22.6172        47  3.87528e-07   64  7.63951
14 28.0156        31  3.22667e-07   48  9.77803e-07   65 12.7969
15  5.93782       32 10.0451        49  1.24193e-06   66  2.54892
16  7.6226        33  7.51361       50  5.8818e-06    67 10.2501
17 12.2293        34  2.80133       51  7.66109
;

