var x145 [*] :=
 1  5.51307e-06   18  9.0792        35  4.65213       52  5.81235
 2  0.448515      19  6.07972       36  5.43818       53  3.28417
 3 12.5317        20 12.7258        37  7.06115       54 11.4113
 4  9.25015       21 28.8311        38  3.9407        55  4.78735
 5  4.26011e-08   22 14.6921        39  8.8533        56  2.58036
 6 30             23  9.90419e-08   40  1.76502       57  0.900751
 7  2.58143       24 30             41  1.80269e-07   58  8.92024e-08
 8 10.511         25  3.41146e-07   42 12.7139        59  1.46976e-06
 9  5.73432       26  3.25234e-07   43  8.27387       60  1.04409e-06
10  5.56158       27  1.56863e-07   44  2.3144        61  1.07046e-07
11 19.3127        28  1.46559       45  7.11506       62  1.08362e-07
12 30             29  2.17875       46  7.21278       63  7.60699e-07
13  3.66857       30 12.8842        47  2.55975       64  6.32636
14  1.40945e-07   31 17.0393        48  7.19932       65  3.32026
15 30             32  1.11714e-07   49  1.28663e-07   66  1.16698e-06
16 11.3508        33 17.3596        50  3.03206e-07   67  3.05854
17 13.1097        34  4.6234        51  8.10172       68  7.15742
;

