var x155 [*] :=
 1  6.64008       19 20.0832        37 14.4976        55 15.445
 2 22.9412        20 11.8431        38  8.70595       56  6.07783
 3 18.2712        21  8.02387       39  5.11823       57  2.75306
 4  1.59827e-07   22 26.9309        40 16.9356        58  8.89226
 5  9.05097e-09   23 13.2296        41  2.88496       59  1.97435e-08
 6  1.21539e-08   24  2.77037e-08   42  3.59731e-08   60  2.04055e-07
 7 30             25 21.3463        43 18.7813        61  3.25725
 8  1.22456       26  4.27452e-07   44  3.34839       62  4.2715e-08
 9 17.8426        27  2.01511e-07   45  1.82369       63  3.07691e-08
10 25.2054        28 14.4605        46 12.7113        64  1.05552e-07
11 15.2895        29  8.02288       47  7.10947       65  7.02081
12 11.9549        30  4.60713       48  3.34695       66  8.88953
13 26.3244        31 18.5874        49 14.9171        67 16.7706
14  7.81081e-08   32 11.4128        50  0.217624      68 14.3296
15  4.15214e-08   33  3.57263e-08   51  4.46865e-08   69 25.4895
16 23.2056        34 17.2776        52 22.1499
17 12.0426        35  1.86867       53  6.09015
18 13.5464        36  2.81465       54  7.78353
;

