var x165 [*] :=
 1  2.3806e-07    19  5.2662e-08    37  4.10758       55  1.81789e-07
 2  1.55893e-07   20  3.26346e-08   38  1.33145       56  9.09028e-08
 3 30             21  6.59766e-08   39  6.74624       57  8.02655
 4  1.28048e-07   22 12.9305        40  1.51719       58  1.56117e-08
 5  8.96657e-09   23  3.28281e-08   41  3.57792e-08   59  7.3825e-08
 6  1.15685e-08   24  1.07918e-06   42  1.64889       60 17.0039
 7  0.036678      25 15.0196        43 10.1774        61  2.05373
 8 10.0439        26  6.71525       44  5.58068       62  1.76391e-07
 9  7.47975       27  4.73659       45 11.2627        63  1.49358e-08
10 12.9797        28  4.06551       46  1.13764       64  3.19855e-08
11 14.5385        29  1.06737       47  7.09328e-08   65  1.08113e-06
12 12.3901        30  2.67741       48 12.5727        66 15.0414
13  3.14697e-08   31  9.09918e-05   49  0.369796      67  5.33012
14  3.62357e-08   32  4.01928e-08   50  4.49655e-08   68 30
15  4.29171e-07   33  6.56743       51 16.7047        69  5.0845e-07
16 25.8565        34  8.29322       52 13.7145
17  2.05806e-07   35  5.4815        53 12.4394
18  1.86994e-07   36  6.72876       54 14.1376
;

