var x170 [*] :=
 1  2.23625e-08   19  8.04739e-07   37  7.26047       55  8.39649
 2  5.03517e-08   20  5.48058e-08   38  6.40436       56  5.03522
 3  1.64519e-06   21  3.71646e-08   39 15.8364        57  6.03877e-07
 4  2.65162e-07   22  3.63332e-08   40  7.74104       58  9.55708e-08
 5  4.13504e-07   23  2.71216e-08   41  3.05255       59  3.41179e-08
 6  2.34961e-08   24  9.21197e-08   42  1.39877       60 11.187
 7  8.68988e-09   25  6.94464       43  4.55068       61  2.18659e-08
 8  1.49011e-08   26  5.7297e-08    44  3.79786e-08   62  6.97383e-08
 9  1.14891e-07   27  1.54934e-06   45  6.53157       63 13.6547
10  1.19802e-06   28  2.05581e-07   46 10.0735        64  4.47616
11 30             29  0.533073      47  1.49072e-07   65  7.44268e-08
12  3.56462       30  8.85535       48 13.4657        66  3.41396e-07
13  8.59547       31  6.25574       49  2.3118        67  5.76456e-08
14  4.85511       32  0.252618      50  4.68862e-07   68  3.09922
15 11.7745        33  8.88872e-08   51  5.3643        69 22.664
16  3.18788e-08   34  3.25876e-07   52  7.28367       70 18.3489
17  5.96399e-08   35  5.59289e-08   53  3.72708e-08   71  1.67608e-06
18  1.93685e-07   36 13.1307        54  6.13868e-07   72  8.3521e-07
;

