var x175 [*] :=
 1  5.57615e-07   19  6.07537       37  8.74576       55 12.5967
 2  9.68162e-07   20  5.76081       38  6.75488       56 11.1528
 3  5.23384e-06   21  5.5215        39  9.8035        57 15.0483
 4  5.85267e-06   22  8.41754       40  9.94104       58 10.4567
 5 17.8832        23  1.92433       41  3.52001       59  0.841441
 6  6.97195e-07   24 17.0625        42 14.2916        60  6.48138
 7  2.57395e-07   25 10.4818        43  1.47111       61  7.45782e-07
 8  3.6613e-07    26  1.08566e-06   44  1.23599e-06   62  2.57113e-06
 9  1.86758e-06   27 17.1484        45 12.1141        63  2.8602e-06
10  1.67509e-05   28  4.43747       46  9.58995       64 17.5822
11 13.2312        29  5.07356       47  4.0424        65  2.97727e-06
12  9.98619       30  8.12076       48 10.5616        66  3.96267e-07
13 16.2885        31  9.89394       49  9.1769        67  7.42603e-07
14  8.48759       32  4.02729       50  9.2783e-07    68  8.51611e-06
15 22.5091        33 15.1915        51 12.0002        69 13.5996
16  7.64831e-07   34  4.08766       52  1.05656       70  4.39144e-06
17  1.18006e-06   35  1.07154e-06   53  1.42012e-06   71  6.77537e-06
18 22.4473        36 16.1972        54 17.3547        72  1.67107e-05
;

