var x185 [*] :=
 1  4.62431e-07   19  2.41886e-06   37  1.6974        55 18.7855
 2  1.77947e-07   20  3.30797e-07   38  9.85761       56 22.5742
 3  3.27001e-07   21  2.25663       39  1.03689       57  9.61032
 4  4.69837e-06   22  9.5355e-06    40  1.10278       58  3.66872
 5  7.65471       23  1.13686       41  3.86422       59  8.27709e-07
 6  1.39373e-07   24  0.981666      42 13.2163        60 21.8815
 7  5.44278e-08   25  5.46911       43  0.783559      61  1.43755e-07
 8  8.76444e-08   26  2.44941e-07   44  2.37649e-07   62  2.94749e-07
 9  5.00834e-07   27  6.61015       45  0.258098      63  6.52143e-07
10  1.13866e-06   28  1.36138       46  3.06961       64 16.1825
11  8.7688        29  5.58472       47 11.7327        65  7.65995
12  8.87306       30  1.30532       48  3.0269e-10    66  9.07231e-08
13  6.74291       31  1.26638       49  1.67692e-06   67  8.615e-08
14  2.38872       32  1.9691        50  1.14727e-06   68  4.5865e-07
15  5.43604e-07   33  7.31991       51 17.3895        69  1.23502e-06
16  2.34511e-07   34  6.54899e-06   52  3.8336        70  3.18054e-07
17  3.34069e-07   35  2.31201e-07   53  2.3224e-07    71  4.32715e-07
18 17.9466        36  2.065         54  1.35319e-06
;

