var x20 [*] :=
 1  2.53327e-07   19  4.38622       37  0.482152      55  1.57651
 2  5.75358e-07   20  3.59889e-07   38  1.06748       56  2.86923
 3  9.60023       21  1.07992e-07   39  1.43034       57  2.89376
 4  2.5029e-08    22  3.32706e-08   40  2.34537       58  1.49866e-07
 5  8.10364e-09   23  5.92261       41  2.44069       59  2.20441e-08
 6  1.40856e-08   24  7.14501       42  2.44335       60  6.48202e-08
 7  7.3354e-08    25  3.86769e-08   43  4.29221e-08   61  2.065e-07
 8  1.52795e-06   26  6.26821e-07   44  2.00971       62 11.7231
 9 13.5652        27  6.3713        45  6.32299       63  4.95325e-08
10 12.8594        28  1.44757       46  6.83782e-07   64  1.54232e-08
11  6.01478       29  9.22139e-08   47  2.95032e-06   65  2.48168e-08
12  8.89837       30  0.623554      48  2.57166e-07   66  1.84782e-07
13  1.71363       31  2.40064       49  1.31914       67  3.27194e-07
14 13.2488        32  4.22234       50  2.53541       68  9.48689e-08
15  8.54456e-08   33  3.29633       51  2.53466       69  1.47883e-07
16  5.21789e-08   34  4.32216e-08   52  4.48979e-08
17  9.34821       35  0.253386      53  7.96979
18  7.80613       36  7.25244       54  8.87868
;

