var x205 [*] :=
 1  1.79015e-05   19  5.17397e-07   37  0.216422      55  8.53532
 2  1.88912e-05   20  2.54815e-06   38  1.06751e-06   56  9.24352e-07
 3 26.4764        21  2.12215e-05   39  7.11844       57 23.6513
 4  1.15552e-05   22 14.0973        40 10.7392        58 23.1033
 5 29.9982        23  9.27772       41 11.8713        59 22.111
 6 29.9998        24  4.33324       42  9.1238e-06    60  4.11782
 7 13.6661        25  6.73138       43  7.41439       61 10.53
 8 13.1233        26  4.2664        44  4.96365       62  3.76339
 9  1.61819e-06   27  6.94221       45 14.371         63 30
10  3.79597e-07   28  0.783547      46  2.0069        64  1.60294e-06
11  8.68736e-07   29  1.32929e-06   47  9.85448e-07   65  1.04106e-06
12  6.18366       30  4.66925       48 23.8941        66  6.46152e-06
13 12.1983        31 13.5364        49 14.7346        67  4.01078e-06
14 16.4094        32 11.7932        50 13.8896        68  6.92807
15  7.38833       33  3.13721       51  0.0839926     69  8.50477e-07
16  7.42181       34  8.74995       52  4.01413       70  2.6067e-07
17  6.69823       35  5.33661       53  2.95673e-06   71  3.4308e-07
18  8.78007e-07   36 10.1563        54 20.8043
;

