var x210 [*] :=
 1  2.17869e-06   19  5.43648e-08   37  2.57594       55 14.0378
 2  2.63742e-06   20  3.45349e-07   38  1.08188e-07   56  9.31712e-08
 3 21.3139        21 13.5108        39 18.122         57 23.5611
 4 13.4797        22 11.6981        40  9.17923       58 26.6455
 5 24.4205        23  5.17367       41  8.3723e-06    59 16.2765
 6  8.86242       24 12.6417        42  9.20538       60 19.2423
 7 21.0268        25  7.11321       43  3.81271       61  7.54961
 8 17.1861        26  4.74862       44  3.90332       62  6.18651
 9  2.97912e-07   27 10.1434        45 15.7592        63 30
10  5.62408e-08   28  3.03024       46  4.88975       64  1.03969e-06
11  1.45958e-07   29  1.35809e-07   47  1.22664e-07   65  1.2134e-07
12 14.1596        30 16.9513        48 30             66  2.46463e-06
13 17.4848        31 11.3562        49 18.3376        67 11.9439
14 21.732         32  1.87317       50  4.15445       68 10.2416
15 15.1121        33 13.4876        51 13.8699        69  6.06873e-08
16  8.62702       34  7.20414       52  0.655297      70  2.50862e-08
17  5.96839       35  5.94913       53  3.76921e-06   71  3.51404e-08
18  5.2406        36 12.6156        54 18.1999
;

