var x225 [*] :=
 1  0.000122725   19  2.37667e-07   37  4.55352       55 14.1504
 2 19.7366        20  7.77146e-06   38  4.11321e-07   56  2.6699e-07
 3 18.5703        21  7.51738       39 22.3304        57 30
 4  1.73053e-06   22 17.4627        40  6.89993       58 15.6169
 5  5.70686       23  2.03087       41  8.70812e-07   59 14.586
 6 10.2001        24 15.5708        42  3.16036       60  6.16087
 7 30             25 10.6601        43 14.1803        61 18.845
 8  2.14424       26  5.85567       44  4.19584       62  8.84884
 9  9.59e-07      27  6.22229       45 12.8655        63 30
10  3.07703e-07   28  1.10492e-06   46 12.5244        64 14.757
11  4.78073e-06   29  6.1889e-07    47  3.06334e-07   65  3.24084e-07
12  6.78598       30 13.2311        48 30             66  2.8952e-05
13 19.0436        31 12.1336        49 23.9418        67  4.24745e-06
14 10.8875        32  1.496         50 16.4006        68 22.3712
15 21.8645        33 11.491         51 13.0241        69  7.13166e-07
16  6.08092       34 15.1761        52 21.0985        70  1.63375e-07
17  7.12776       35  7.04657       53  1.39304
18  9.90072e-08   36  9.71628       54 22.2187
;

