var x25 [*] :=
 1  2.92029e-06   19  0.245991      37  0.323068      55  0.0479849
 2  9.96964       20  1.38387e-07   38  1.25868       56  3.75387e-07
 3 18.368         21  4.02888e-08   39  1.57939       57  8.85158e-08
 4  3.20432e-07   22  1.23389e-07   40  1.09639e-07   58  5.85319e-08
 5  2.20427e-08   23  2.29539       41  3.15118e-07   59  1.96437e-07
 6  3.04986e-08   24  7.62535e-08   42  7.7955e-08    60  4.3001e-06
 7  1.77325e-06   25  3.98586e-07   43  7.14331e-07   61 12.7585
 8 23.9689        26  9.27691       44  0.205427      62  1.93323e-07
 9 18.1617        27  6.65336       45  2.49156       63  3.86392e-08
10  9.56686       28  1.49061       46  0.31478       64  7.49854e-08
11 11.4269        29  1.08893       47  1.72337e-07   65  8.53954e-07
12  1.61016       30  1.99193       48  0.46001       66 30
13  6.74883       31  1.00813e-07   49  2.97354       67  4.43209e-07
14  2.1979e-07    32  1.41499e-07   50  3.24469       68  5.83674e-07
15  1.07888e-07   33  7.16368e-08   51  1.05615e-07   69  4.23743e-06
16  7.20517       34  1.05114e-06   52  0.990869
17 12.8496        35  5.45046       53  9.39575
18  3.9484        36  4.7852        54  1.45759e-07
;

