var x260 [*] :=
 1 16.2323        17  2.41095       33 20.9942        49 11.6653
 2 13.982         18  5.86335       34 30             50 29.9687
 3  1.27388e-06   19 12.7934        35 25.2131        51 24.8635
 4 14.2121        20  2.86695e-07   36 30             52 23.8859
 5 19.4451        21  8.13972       37 30             53 30
 6  5.6222        22 20.298         38 12.9644        54 27.9685
 7  0.00838217    23 14.736         39  2.01314e-07   55  5.99036
 8 12.0467        24 14.952         40 22.0215        56 30
 9  8.95          25 12.1831        41 18.945         57 30
10  1.63569       26  1.24487e-06   42 30             58 30
11 12.2122        27  4.32601       43 25.0847        59 23.0671
12  5.87927       28 11.2864        44 21.1243        60 14.3465
13  1.76641e-05   29 24.1398        45 28.2486        61  3.56162e-06
14 22.5843        30  2.2889e-07    46 21.4039
15 20.0813        31 30             47 13.7833
16 11.3744        32 30             48  3.9805
;

