var x270 [*] :=
 1  4.07477e-07   16 23.9507        31 26.5333        46  2.66892
 2  2.14156e-05   17 30             32 26.5439        47 30
 3  9.86767       18  8.08806e-07   33 30             48 27.2118
 4  8.37494e-06   19 30             34 30             49 23.4379
 5  2.84475e-07   20  4.43699       35 13.5982        50 26.5034
 6  4.48802e-07   21 19.4654        36  5.82257e-07   51 26.5822
 7  2.88605e-06   22 18.9408        37  1.2828e-07    52 20.9648
 8  1.32185e-07   23 24.0722        38  6.26605       53  2.91449
 9 12.6048        24 12.0574        39 23.2255        54 15.034
10 23.9491        25 21.4674        40 30             55 20.9859
11  2.20066       26 18.4206        41 21.1014        56 25.7086
12 30             27  3.51664       42 21.9741        57 22.7288
13 30             28  1.49203e-07   43 16.4563        58  6.88572e-07
14 30             29  4.9905        44  4.10382
15 14.8918        30 25.1666        45  8.17776
;

