var x285 [*] :=
 1 17.5039        17 16.4436        33  6.39123e-08   49 24.2615
 2 13.5509        18 24.4787        34 15.1024        50 13.9285
 3 12.3922        19 17.6487        35 30             51  7.70424e-06
 4  9.38566e-08   20  8.34336       36 23.4693        52 25.0472
 5  4.52605       21 24.5131        37 27.5964        53 29.2354
 6 21.1231        22 21.9987        38 27.6479        54 30
 7 17.9904        23  1.42117e-07   39 30             55 30
 8  1.9846e-07    24 30             40 30             56 29.2798
 9  2.28275e-07   25  6.40007       41  9.97604       57 30
10  1.94149e-07   26 11.2824        42  5.93192e-08   58  6.99843
11  0.723168      27 19.479         43 17.9275        59  7.81234e-06
12 12.5417        28 10.534         44 28.6215        60 25.6648
13  0.540121      29  5.03719       45 30             61 28.0628
14  9.42435       30 21.0401        46 27.0412        62 28.6858
15 30             31 18.8334        47 25.7141        63 16.3056
16  3.26705       32 14.9334        48 26.8818        64  2.2111e-07
;

