var x290 [*] :=
 1  2.71481e-07   17 22.4802        33  5.40023e-08   49 25.6875
 2 11.0898        18 30             34 16.0793        50 18.7492
 3  6.71204       19 26.7414        35 30             51  3.51473e-06
 4  3.82868e-08   20 19.1894        36 28.16          52 24.8349
 5  6.38941e-08   21 23.122         37 30             53 26.7932
 6  3.6241        22 21.1675        38 30             54 22.7987
 7 30             23  2.48079e-07   39 30             55 26.7066
 8  3.4016        24 30             40 30             56 21.6906
 9  8.55076       25 12.2457        41 22.39          57 27.8734
10  7.24727       26 16.0396        42  4.78696e-08   58  8.01651
11 10.4421        27 25.2764        43  8.84065       59 28.5297
12 12.8412        28 20.6929        44 26.3712        60 21.6525
13  4.67251e-07   29 16.4832        45 30             61 24.3661
14  4.55648       30 23.0976        46 25.9146        62 24.626
15 30             31 22.5852        47 26.4449        63  7.52299
16  4.26386       32 27.6437        48 23.924         64  3.31145e-08
;

