var x30 [*] :=
 1  9.84158       19 15.861         37 10.1356        55  7.7372
 2 11.1263        20 11.2897        38 12.0284        56  1.76547e-08
 3 18.049         21 22.9651        39 15.5364        57  1.94247e-08
 4  2.53897e-08   22  8.61098       40  6.66198       58  1.11072e-07
 5  7.92924e-09   23  1.90322e-08   41  3.10934e-08   59  2.81722e-08
 6  4.48414e-07   24 12.1145        42  1.08549e-07   60  1.7179e-08
 7 30             25 18.0354        43 13.2255        61  8.78035e-09
 8 30             26 16.3692        44  7.69113       62  9.4708e-09
 9 19.7682        27  8.78206       45  4.96346       63  3.32123e-08
10 21.81          28 12.1931        46  6.94437       64  1.56621e-06
11 13.7958        29 12.7071        47 10.6969        65  0.0232437
12 26.8613        30 17.972         48 11.467         66  6.45644e-07
13  3.63762e-08   31 10.4725        49  3.65169       67  8.87431e-07
14  2.50788e-08   32  2.24907e-08   50  4.983e-08     68  0.614573
15 17.8955        33  2.07005       51  5.01433e-08   69  6.50405e-07
16 30             34 18.7496        52  1.90855       70  7.48703e-07
17 21.5431        35 12.6901        53  1.27528e-07
18 16.8417        36  8.01055       54  6.02978
;

