var x300 [*] :=
 1  4.5186        17  6.71907e-07   33  1.61297e-07   49 12.7625
 2  7.96971e-05   18  0.933285      34  2.74721e-06   50  9.06049
 3  6.15894       19  1.95162       35 23.5476        51  4.64798e-06
 4  3.42143e-07   20  1.4307e-06    36  7.70671       52 22.6864
 5  9.62191e-07   21  3.35382       37 15.6225        53 17.9318
 6  8.04093       22  1.7901e-07    38 16.0732        54 18.9113
 7 15.173         23  1.29184e-07   39 15.7152        55 24.0395
 8  3.50328e-07   24  9.94454e-07   40 17.9064        56 14.4457
 9  3.00808e-07   25  5.24834e-06   41  7.92528       57 19.0931
10  5.1239e-07    26  3.32633       42  1.1447e-07    58  0.0664813
11  5.3352        27  4.24912       43  0.0327292     59 30
12  8.79862       28  3.18656       44 23.6209        60 30
13  6.62184e-07   29  0.218005      45 15.4756        61 25.2989
14  9.67197e-07   30  1.22607       46 18.7091        62 23.9726
15  8.98757       31  4.16487       47 22.102         63  2.48352
16  9.78084e-07   32 18.4307        48 10.6183        64  4.51731e-08
;

