var x305 [*] :=
 1  3.9421e-06    18  7.23047e-08   35  4.6111e-07    52  2.53822e-05
 2 21.3562        19  1.19536e-07   36 10.8478        53 30
 3 23.0574        20  6.55511       37  2.85078       54 25.4595
 4  1.46324e-07   21 14.1209        38  8.65051       55 21.7371
 5  6.53832e-08   22  6.31783       39 17.5655        56 24.7155
 6  4.26857       23  2.42739e-08   40  3.59177       57  4.30539
 7 23.4636        24  1.38326e-08   41  5.68326       58 25.1261
 8  2.69237e-07   25  4.84896e-08   42  3.18014       59  1.05016
 9  6.84302e-08   26  9.93437e-08   43  1.42862e-08   60 18.2549
10  3.51513       27  3.22659       44 16.199         61 19.7385
11 10.0961        28  6.66691e-07   45 18.5125        62 30
12 16.3448        29  9.19187       46 20.7421        63 30
13 13.24          30 16.1582        47 15.6065        64  1.52184e-07
14  0.90462       31  6.33053       48 23.0443        65  6.53784e-09
15  8.48101e-08   32  5.43456e-08   49  0.48799
16  0.0778301     33  3.69275       50 13.1591
17  0.0157885     34  2.04416e-08   51  9.50469
;

