var x310 [*] :=
 1 17.5772        18  2.13423e-06   35  1.58937e-07   52  9.70471
 2  9.41515e-06   19  1.39734e-06   36  2.37961       53  1.15711e-07
 3 20.9521        20  7.20337e-07   37  9.90466       54  1.07784e-05
 4 23.1338        21  6.35808       38  2.55914       55 24.9923
 5  2.47249e-06   22 16.262         39  8.39993       56 16.4933
 6  7.32781e-07   23  5.53503       40 22.5009        57 14.3521
 7  6.60329       24  1.10423e-07   41  5.26807       58 27.6682
 8 21.374         25  9.7182e-08    42  9.95258       59  8.82155
 9  1.97234e-06   26  2.48279e-07   43  4.80028       60 21.8992
10  4.87097e-07   27  6.28566e-07   44  1.11284e-07   61  6.50204e-07
11  3.28775       28  1.28812       45  6.55619       62  6.14791
12  8.43776       29  1.61679e-06   46 17.1813        63  7.78922
13 14.7861        30  6.56951       47 14.4938        64 22.4324
14 11.2217        31 17.4406        48 11.4518        65 29.9565
15  1.62108       32  3.85891       49 25.1847        66  7.49207e-07
16  3.16537e-07   33  0.0351917     50  3.48658       67  3.91409e-08
17  5.20723       34  7.96205       51 14.3951
;

