var x320 [*] :=
 1  8.99611       18  8.37304e-07   35  0.151925      52  1.08286e-06
 2  3.49994e-06   19  1.61155e-06   36  1.8546e-07    53  7.54099e-07
 3  5.38369e-06   20  1.52694e-07   37  2.04105       54  1.27198e-07
 4 21.8751        21  4.2222e-06    38  7.30601       55  4.5323
 5  7.42662e-07   22  8.29399e-07   39  6.4755        56  0.367901
 6  9.89903e-07   23  1.4156e-06    40  6.94427e-07   57  6.08218
 7  5.59307e-07   24  5.01785       41  0.0231589     58  1.75018e-06
 8  1.1245e-06    25  2.60583e-07   42  1.11318       59  1.92845e-07
 9 10.7675        26  2.00346e-07   43  0.487468      60  2.36829e-07
10  1.18187e-06   27  2.37385e-07   44  1.56489e-06   61  2.89957e-07
11  1.236e-06     28  6.22025e-07   45  1.24505e-07   62 26.3255
12  2.78338e-06   29  0.769252      46  6.08151e-06   63 27.135
13  3.8735        30  1.21441e-06   47  5.81227e-06   64  2.83886
14  8.58875       31  1.2045        48  2.92823       65  7.03982e-07
15  6.86689       32  6.75434e-07   49  5.17213       66  4.66246e-08
16  5.58907e-06   33  3.27555       50  3.27956
17  1.77953e-07   34  3.60097e-07   51  1.19223
;

