var x335 [*] :=
 1  4.19255       19  7.91115e-08   37  3.39814e-08   55  3.25425e-08
 2  7.16798e-07   20  4.12204e-07   38  8.93774       56  4.94197
 3 26.0211        21  2.77489       39  4.0927        57  6.03865
 4  2.57167e-06   22  3.11224e-07   40  3.38326       58  8.42464
 5  1.23099e-06   23  9.01154       41 12.1588        59 19.862
 6  8.97391e-08   24  8.84982       42 10.983         60 11.1903
 7  3.5201e-08    25  1.4493e-07    43  0.192635      61  4.46388
 8  1.86953e-08   26  2.95432       44  9.13329       62 13.403
 9  5.49571e-08   27  0.0302432     45  5.04914       63  3.82616e-08
10  9.09855       28  3.51916e-08   46  3.50013e-08   64  4.34838e-08
11  8.15539       29  0.697236      47 10.3282        65  1.65138
12  1.41484e-07   30  4.51825       48 10.2668        66 23.2019
13  1.16936       31  3.1391        49 11.5627        67  7.4252
14  9.07614       32 11.1825        50 17.0604        68  6.02383e-08
15  6.69969       33 10.4646        51 12.4165        69  9.88468e-09
16  1.01589       34  0.865654      52  2.45625
17  1.95633e-08   35  7.00532       53 16.4559
18  1.88865e-08   36  0.270847      54  2.80501
;

