var x340 [*] :=
 1 15.416         19  2.05323e-07   37  6.82014e-08   55  6.15961e-08
 2  1.01772       20  3.3114e-07    38 10.3647        56  1.43322e-05
 3 19.4999        21  5.87021       39  5.21125       57  1.98565
 4  1.90516e-06   22  1.42451e-06   40  3.62899e-07   58  8.63373
 5  5.32706e-07   23  2.36397       41  3.28155       59 12.5281
 6  1.17719e-07   24  4.14433       42  2.61213       60  6.7667
 7  5.78503e-08   25  1.93676       43  3.44723       61  8.80452
 8  3.13615e-08   26  5.17109       44 10.9118        62 15.0902
 9  8.58456e-08   27  2.12449       45  7.86224       63  6.20364e-08
10  0.375727      28  1.00801e-07   46  6.31887e-08   64  7.67328e-08
11  0.726906      29  9.30209e-07   47 11.1515        65  3.90415e-05
12  2.28864e-07   30  6.65195       48 14.7864        66  9.37144
13  2.82851       31  1.91186       49  7.22113       67  1.35903
14  2.40836       32  2.84282       50  9.36885       68  4.62507e-08
15  3.72314       33  4.3712        51  4.80745       69  1.47725e-08
16  2.28606       34  3.21632       52  6.20745       70  2.03565e-08
17  3.77897e-08   35  8.07462       53 18.7544
18  3.81603e-08   36  3.67305       54  5.16104
;

