var x345 [*] :=
 1  1.0785e-06    19  2.68968e-08   37  1.93263e-08   55  2.48072e-08
 2  8.31287       20  8.47892       38 12.0121        56 18.0577
 3  5.93026e-07   21  4.89285e-07   39  5.0411        57  2.65252
 4  8.75171e-07   22  6.00028       40  3.74797       58 18.8333
 5  5.36046e-07   23  5.18568       41  3.86461       59  5.43977
 6 15.731         24  7.37739       42  1.16581e-07   60  2.20772
 7 23.5138        25  6.89883       43  3.95195e-08   61  1.85029
 8  2.54955e-07   26  4.33728e-08   44  1.32681e-08   62  1.65105e-08
 9  3.34717e-08   27  6.13168e-08   45  3.30666       63  2.93756e-08
10  2.655e-07     28  1.73394e-08   46  2.58621e-08   64  4.45692
11 27.1782        29  1.23552e-07   47 13.958         65 22.7792
12  4.91973       30  1.08778e-07   48 21.8472        66 10.6862
13  9.05977       31  9.54504e-08   49 14.5436        67  1.32188e-08
14 21.7592        32  4.20203e-08   50 16.5723        68  4.66569e-09
15 11.9202        33  2.39889e-08   51  5.40938       69  7.36297e-09
16 14.5407        34  2.33281e-08   52  6.05785e-08
17  3.26328e-07   35  1.7378e-08    53  2.83382
18  1.1617e-08    36  6.83439e-08   54  4.5524
;

