var x35 [*] :=
 1 12.8804        19 19.2035        37 13.2296        55  6.72552
 2 21.3145        20  9.22845       38  7.78577       56  1.78538e-08
 3 18.0361        21 20.0541        39  9.04406       57  2.2973e-08
 4  3.56695e-08   22  6.52636       40  4.33849       58  1.40713e-07
 5  1.29617e-08   23  3.54015e-08   41  5.05857e-08   59  1.29917e-07
 6  5.93522e-07   24 10.5385        42  2.78327e-07   60  4.98832e-08
 7 26.617         25 13.4071        43  8.94254       61  3.28334e-08
 8 26.833         26 12.4391        44  5.60029       62  2.1335e-08
 9 23.5647        27  9.15053       45  3.77631       63  4.6509e-08
10 23.076         28 14.3024        46 10.237         64  1.26771e-06
11 12.1219        29  8.57483       47  6.48853       65  4.0147
12 23.9785        30 12.1189        48  6.04087       66 10.2764
13  1.02931e-07   31  8.08582       49  1.11415       67  2.80508
14  4.52128e-08   32  3.8051e-08    50  7.41513e-08   68 11.1164
15 13.4099        33  5.25409e-07   51  1.15e-07      69  1.39289e-06
16 29.1386        34 13.4763        52  2.16496       70  1.44908e-06
17 21.4623        35  9.12433       53  1.30009e-07
18 21.6999        36  7.36866       54  7.97216
;

