var x355 [*] :=
 1  3.86914e-07   19  2.68082e-08   37  2.67362e-08   55  3.32831e-08
 2  7.85909e-08   20  0.429269      38  1.64985e-07   56 16.4712
 3  1.17009e-07   21  2.46983       39  3.57387       57 13.7259
 4  4.70461e-07   22  8.53534       40  1.01675       58  7.17746
 5  1.17256e-07   23  4.4354        41  0.119241      59  9.60427
 6 14.8989        24  1.34701       42  6.76258e-07   60  5.40753
 7  9.67091       25  1.91857       43  4.86323e-08   61  3.38845
 8  1.28872e-08   26  4.46144       44  1.33096e-07   62  3.13628e-08
 9  1.19758e-08   27  3.40677e-07   45  0.776302      63  3.47909e-08
10  4.93475e-08   28  2.63114e-08   46  3.08985e-08   64  7.97211
11  6.56666e-07   29  2.63185e-07   47  2.82191e-07   65  6.42283
12 15.6852        30  1.94195e-07   48  9.40252       66 27.331
13 20.0324        31  4.0312        49  6.08986e-08   67  3.77918e-08
14 15.5641        32  1.26257e-07   50  1.46766e-07   68  8.59045e-09
15  6.75699       33  3.13063e-08   51  4.02654e-08   69  1.0919e-08
16  5.70295       34  1.40376       52  9.54644e-09   70  4.5523e-08
17  3.869         35  2.72751       53  8.12742e-09   71  1.08698e-08
18  1.19208e-08   36  1.41976       54  3.33069
;

