var x40 [*] :=
 1  3.89198e-05   19  8.2315        37  1.3496        55  1.27385e-05
 2 12.5748        20  1.07055e-05   38  1.94511       56  1.16841e-06
 3 18.351         21  9.41673       39  2.68163       57  9.37999e-07
 4  2.31031e-06   22  4.62642       40  5.07519e-06   58  3.83811e-06
 5  9.17075e-07   23  1.35023e-06   41  1.56882e-06   59 17.4252
 6  3.69746e-05   24  1.14532e-05   42  7.36661       60  7.95195
 7 17.1947        25  3.35979e-06   43  1.72087       61  4.4995e-06
 8  7.80954       26  4.74461e-06   44  7.61325e-06   62  1.39979e-06
 9 11.3187        27  2.36913e-06   45  6.16465       63  3.12828e-06
10 13.8739        28  1.97408e-06   46  1.07196       64  3.09104
11  3.98548       29  1.15658e-06   47  6.43853e-06   65 10.4906
12 21.5576        30  2.16263       48  2.62565       66  6.95306e-05
13  2.97347e-05   31  2.91502       49  2.9601e-05    67 14.7231
14  2.00657e-06   32  1.20351e-06   50  1.96921e-06   68 23.98
15 15.6191        33  0.232133      51  0.000691451   69  5.02361e-05
16 10.1312        34  3.22114       52  7.33103       70  0.000126472
17  8.2938        35  0.195184      53  8.92099
18  7.09835       36  5.70194       54  1.31701
;

