var x45 [*] :=
 1  7.50162       19 10.6127        37  1.59357       55  2.29784e-07
 2  2.8597e-06    20  0.626443      38  2.28293       56  3.76076e-08
 3 15.5458        21  7.86134       39  0.972372      57  3.73776e-08
 4 21.8915        22  4.87751       40  1.8171e-07    58  1.72249e-07
 5  1.6547e-07    23  4.56246e-08   41  5.2755e-08    59 17.7171
 6  7.87993e-08   24  7.6282e-07    42  7.25671       60  8.73567
 7  1.57009e-06   25  1.55686e-07   43  3.26287       61  2.13494e-07
 8 17.4613        26  1.31156e-07   44  5.67008e-07   62  7.50584e-08
 9  8.99706       27  7.26115e-08   45  5.86872       63  1.83459e-07
10 12.4606        28  5.78062e-08   46  1.99899       64  3.84255
11 16.6138        29  3.46863e-08   47  0.199637      65  7.27179
12  3.42728       30  1.5594e-07    48  1.19375       66  1.04753e-06
13 22.1117        31  2.43242       49  1.62299e-07   67  6.42177
14  0.575785      32  4.16494e-08   50  7.42519e-08   68 26.3034
15 16.8175        33  6.90909e-07   51  1.1638        69 30
16 10.8255        34  4.71248       52  7.23524       70 13.1697
17  9.17603       35  0.247146      53  8.184
18  7.41836       36  5.99401       54  2.18138
;

