var x5 [*] :=
 1  6.42758e-07   19  4.99618       37  1.03436e-05   55  4.00764e-06
 2  8.2934e-07    20  5.98511       38  4.66794e-06   56 14.1652
 3 16.3091        21  1.02213e-05   39  2.85794e-06   57 10.1929
 4 14.4691        22  2.84638e-06   40  2.30695e-06   58  8.00257
 5  1.17464e-06   23  4.7955e-07    41  4.43156e-06   59  1.51407
 6  1.90244e-07   24  6.18035e-07   42  1.25506e-06   60  4.21994e-07
 7  2.57812e-07   25  2.18261e-05   43  1.9577        61  8.40368e-07
 8  1.34987e-06   26  7.85654e-07   44  6.48814e-07   62  1.42693e-05
 9 13.7273        27  2.87586e-06   45  5.62775       63  3.1498e-06
10 15.5891        28  1.39942e-05   46  7.53424       64  5.84046e-07
11 16.3771        29  3.10643e-05   47  8.59061       65  2.22439e-07
12 10.4137        30  2.16109e-06   48  5.36637       66  2.94648e-07
13 13.3591        31  1.53535e-06   49  1.2468        67  1.48468e-06
14  4.9553e-06    32  8.78687e-07   50  3.91716       68  1.42208e-06
15  4.77778e-05   33  6.57211e-07   51  4.66089       69  5.91621e-07
16  5.27399e-07   34  1.46527       52  1.55129e-06   70  1.03319e-06
17  8.80719e-07   35  7.16741e-07   53  6.48463e-07
18 19.4816        36  8.11554e-06   54  1.20448e-05
;

