var x50 [*] :=
 1  3.44008       19  6.65747       37 13.219         55 14.7812
 2 20.5685        20  4.02251       38  3.19644       56  2.63003e-06
 3 30             21  7.80917e-07   39  1.28652       57  7.36628e-07
 4  2.0864e-05    22  2.53519e-06   40  0.873479      58  5.23997e-06
 5  8.94471e-07   23  4.47029e-07   41  5.4724e-07    59  1.11152e-06
 6  2.94343e-07   24  9.26372       42  4.29836e-06   60  1.8739e-06
 7  1.22835e-05   25 23.5791        43 15.8456        61  1.26523
 8  6.2355        26 16.9512        44 15.4554        62 11.7829
 9 10.4242        27 15.9086        45  2.00504       63  5.88919
10 17.5211        28  8.72115       46 12.397         64  5.58014e-06
11  0.802573      29  3.6513        47  5.75201       65 22.0335
12  0.00174365    30  5.21433       48  9.33607e-07   66  4.12195e-05
13  4.7375        31  1.22782e-05   49  6.20002e-07   67  9.85908
14  1.15982e-06   32  4.06527e-07   50  9.19828e-07   68  0.254274
15  1.0521        33  4.16132e-06   51  1.58851e-06   69  4.64654e-05
16 10.1827        34 17.4514        52  5.93768e-06
17 13.8263        35 15.9427        53  1.85775e-05
18 15.5497        36  5.18965       54 16.3296
;

