var x55 [*] :=
 1  4.91605e-06   19  4.01505       37  2.35841       55  5.06126
 2  4.89403       20  0.000170731   38  3.79225       56  9.2694e-08
 3  8.55673       21 10.2979        39  1.35699       57  2.13873e-07
 4  4.51355       22  4.92783       40  9.26811e-06   58  2.6544e-06
 5  2.38366e-06   23  1.93765e-07   41  2.0477e-07    59  6.17832e-07
 6  2.50207       24  4.91567       42  2.13869e-06   60  4.2795e-07
 7  2.25748       25  7.48732       43  7.13083       61  5.387e-07
 8 21.9932        26  2.23815e-06   44  1.0588e-06    62  5.98066e-06
 9 15.8951        27  3.2345e-07    45  1.73027       63  9.5027
10  9.09617       28  4.58041e-07   46  1.51279       64 10.3274
11  5.78035       29  0.931173      47  2.72501       65  1.2914e-06
12  1.01368       30  4.87323       48  1.79344e-07   66  0.154311
13 24.0047        31  2.0184        49  1.49503e-07   67 15.0699
14  3.69325       32  1.75666e-07   50  3.32725e-07   68  3.12929e-06
15 14.4746        33  6.29905e-07   51  1.54979e-06   69  0.00130187
16 16.8894        34  7.59005       52  1.16187e-05
17 11.1758        35  1.11891       53  4.7488
18  6.78109       36  0.988645      54  0.30384
;

