var x60 [*] :=
 1  4.50156e-06   18  7.1949        35  3.11828       52  1.64324e-06
 2  7.14581       19  4.5456        36  1.42112e-06   53  4.5115
 3 12.2786        20  1.28637       37  2.92404       54  0.767693
 4  6.55113       21  9.32383       38  5.52328       55  7.23266
 5  0.174981      22  3.41059       39  1.68703       56  2.71027e-08
 6  7.27855       23  4.8153e-08    40  3.76438e-07   57  7.9881e-08
 7  2.20022       24  4.6301        41  4.5542e-08    58  4.3542e-06
 8 26.7286        25 10.1201        42  9.39677e-07   59  1.81859e-07
 9 18.8105        26  2.08021       43  8.17629       60  1.74967e-07
10 11.4396        27  9.87011e-08   44  1.14926       61  0.880807
11  7.25403       28  1.44857e-07   45  0.597481      62 11.657
12  1.62514       29  1.95971       46  2.14541       63 12.4753
13 24.2473        30  5.82204       47  4.05027       64  3.24302e-07
14  4.98109       31  4.93405e-07   48  3.86785e-08   65  3.34685e-06
15 14.9005        32  4.30277e-08   49  3.86127e-08   66 16.0873
16 19.2178        33  1.54583e-07   50  9.55649e-08   67  3.96488e-06
17 13.8503        34  8.90568       51  2.47263e-06
;

