var x65 [*] :=
 1  5.70407       18 16.2511        35  0.00171057    52  5.82049
 2 24.1166        19 14.4675        36  5.76953       53 13.052
 3 28.4832        20 15.9166        37 13.2177        54 24.3998
 4  4.44957       21  1.77676       38  1.76955e-07   55  2.50061
 5  1.46365e-07   22  1.3478        39  8.0583        56  1.37549e-07
 6  8.3581e-08    23  4.50597       40  2.22685e-08   57  6.5489e-07
 7  5.08568e-07   24 30             41  1.13509e-07   58  3.13649
 8 14.4678        25 10.4212        42 14.9219        59 10.4518
 9 11.0942        26  8.58218       43  9.71669       60 20.5032
10 18.294         27 12.0695        44  2.46297e-07   61  0.0457176
11 12.062         28 17.5093        45  4.92819       62 20.5882
12 11.0013        29  7.66535       46 15.7988        63 16.3503
13  4.75728       30  4.3154        47  2.31035e-08   64  6.90075
14  1.43387e-07   31  1.92825e-08   48  1.67686e-08   65  2.81176
15  1.68919e-06   32  1.34454e-07   49  5.38159e-08
16 27.3381        33 20.1296        50  1.45354e-07
17 14.2735        34 11.3006        51  1.83299e-07
;

