var x70 [*] :=
 1 14.1198        18 16.6621        35  1.15308       52  6.70148e-07
 2 30             19  9.45059       36  2.41092e-07   53 13.1018
 3 25.2459        20 16.6989        37  4.91252       54 13.1788
 4  5.80675       21  4.29789       38  8.61537e-08   55  3.96741e-08
 5  3.014         22  2.78165       39 12.2121        56  5.80804e-07
 6  1.86032e-07   23  7.72738       40  5.39666e-08   57  9.38398
 7  3.1479e-06    24 30             41  1.93932e-07   58  2.90431e-07
 8 17.5984        25 23.8896        42 15.9826        59  1.10198e-06
 9 21.5109        26 13.1505        43 20.4598        60 21.9939
10 19.576         27 10.3904        44  1.26526       61  6.47721
11 10.2219        28 17.6067        45  2.79913       62 15.4352
12 17.9144        29 10.0459        46  8.66606       63  1.91562
13  6.48164       30  6.93111       47  1.41695e-07   64  8.8314
14  3.37848e-07   31  4.69744e-08   48  5.1863e-08    65  1.61627e-05
15  9.49743       32  3.55999e-07   49  2.44356e-07
16 25.0148        33 16.6766        50  2.83904e-07
17 25.9298        34 22.1325        51  8.15319e-06
;

