var x75 [*] :=
 1  1.24279e-06   17 27.7621        33 17.3694        49  1.76305e-07
 2 29.9998        18 20.0648        34 26.7992        50  8.23725
 3 30             19 10.7538        35  0.199383      51  0.158374
 4  8.7479e-10    20 19.8746        36  6.59815e-08   52 14.9028
 5  6.22339       21  5.31844       37  7.50057       53 17.3929
 6  1.60855e-08   22  1.5074        38  1.66407e-07   54  5.98159e-08
 7  1.02193e-06   23 10.0779        39 15.7468        55  6.69828
 8  8.56846       24 30             40  2.32995e-08   56 13.9829
 9 20.9481        25 27.6838        41  7.16754e-08   57  9.82005e-07
10 24.447         26 14.7057        42 18.9552        58  8.28162
11 10.5231        27 11.1915        43 29.168         59 24.1831
12 20.5071        28 21.0238        44  0.498568      60 17.1136
13  4.43802       29 11.0953        45  4.45328       61 17.7214
14  1.72626e-06   30  8.61915       46 12.1414        62 10.5743
15  5.80982       31  1.96503e-08   47  3.38835       63 15.3811
16 25.2306        32  7.11192e-07   48  3.14503e-08   64  9.55655
;

