var x80 [*] :=
 1 22.4206        17 19.9677        33 19.8686        49  1.97231e-06
 2 19.6642        18  9.2976e-07    34 22.3248        50  3.4012e-07
 3 19.4606        19  3.97507       35  8.10417e-07   51  2.24399e-07
 4  1.43068e-06   20 18.1688        36  1.06389e-07   52  2.98627
 5  5.09334e-06   21  2.22196e-07   37  1.87245e-07   53  2.93661
 6  1.71985       22  1.29098e-07   38  1.93965e-07   54  6.17695e-08
 7  7.21967       23  7.1377        39  8.48446       55  0.0529571
 8 19.3341        24 30             40  5.9896e-08    56 10.5346
 9  9.15095       25 27.9246        41  2.94421e-06   57  4.68375e-07
10  2.62672       26  5.91057       42 22.9903        58  6.14333
11  1.58219e-06   27 13.9228        43 30             59  7.49411
12 11.8049        28 22.9577        44  1.68328       60  4.26528
13  3.52073       29  5.50366       45  1.16608       61  5.60705
14  1.72492e-07   30  1.02603       46  3.43056       62  3.86161e-06
15  9.90811       31  5.18186e-08   47 12.5046        63  0.29876
16 23.776         32  8.82678       48  1.23553e-07
;

